"Título do Desenho: Termohigrógrafo_coleta_MALG"
"#","Data Hora, GMT-03:00","Temp., °C (LGR S/N: 20455588, SEN S/N: 20455588)","HR, % (LGR S/N: 20455588, SEN S/N: 20455588)","Anfitrião Ligado (LGR S/N: 20455588)","Fim Do Ficheiro (LGR S/N: 20455588)"
1072,08/16/20 03h43min39s,16.108,76.257,,
1073,08/16/20 04h43min39s,15.989,75.695,,
1074,08/16/20 05h43min39s,15.846,75.213,,
1075,08/16/20 06h43min39s,15.751,75.322,,
1076,08/16/20 07h43min39s,15.655,76.040,,
1077,08/16/20 08h43min39s,15.608,75.942,,
1078,08/16/20 09h43min39s,15.584,75.944,,
1079,08/16/20 10h43min39s,15.584,75.790,,
1080,08/16/20 11h43min39s,15.608,75.240,,
1081,08/16/20 12h43min39s,15.679,74.708,,
1082,08/16/20 01h43min39s,15.870,73.917,,
1083,08/16/20 02h43min39s,16.085,73.207,,
1084,08/16/20 03h43min39s,16.275,72.575,,
1085,08/16/20 04h43min39s,16.418,72.595,,
1086,08/16/20 05h43min39s,16.394,73.125,,
1087,08/16/20 06h43min39s,16.347,73.725,,
1088,08/16/20 07h43min39s,16.275,73.734,,
1089,08/16/20 08h43min39s,16.204,74.007,,
1090,08/16/20 09h43min39s,16.132,74.240,,
1091,08/16/20 10h43min39s,15.989,72.266,,
1092,08/16/20 11h43min39s,15.870,72.359,,
1093,08/17/20 12h43min39s,15.751,71.277,,
1094,08/17/20 01h43min39s,15.679,72.196,,
1095,08/17/20 02h43min39s,15.536,70.763,,
1096,08/17/20 03h43min39s,15.417,70.949,,
1097,08/17/20 04h43min39s,15.369,71.511,,
1098,08/17/20 05h43min39s,15.249,70.942,,
1099,08/17/20 06h43min39s,15.058,69.849,,
1100,08/17/20 07h43min39s,14.939,70.594,,
1101,08/17/20 08h43min39s,14.891,70.000,,
1102,08/17/20 09h43min39s,14.939,70.273,,
1103,08/17/20 10h43min39s,15.034,70.677,,
1104,08/17/20 11h43min39s,15.082,70.377,,
1105,08/17/20 12h43min39s,15.249,69.756,,
1106,08/17/20 01h43min39s,15.536,69.526,,
1107,08/17/20 02h43min39s,15.870,69.141,,
1108,08/17/20 03h43min39s,16.132,68.979,,
1109,08/17/20 04h43min39s,16.275,69.250,,
1110,08/17/20 05h43min39s,16.275,70.056,,
1111,08/17/20 06h43min39s,16.156,70.834,,
1112,08/17/20 07h43min39s,16.085,71.261,,
1113,08/17/20 08h43min39s,16.037,71.662,,
1114,08/17/20 09h43min39s,15.965,71.528,,
1115,08/17/20 10h43min39s,15.918,72.011,,
1116,08/17/20 11h43min39s,15.870,72.436,,
1117,08/18/20 12h43min39s,15.798,72.602,,
1118,08/18/20 01h43min39s,15.751,72.648,,
1119,08/18/20 02h43min39s,15.679,72.658,,
1120,08/18/20 03h43min39s,15.608,72.747,,
1121,08/18/20 04h43min39s,15.536,73.240,,
1122,08/18/20 05h43min39s,15.440,73.089,,
1123,08/18/20 06h43min39s,15.369,73.180,,
1124,08/18/20 07h43min39s,15.369,74.156,,
1125,08/18/20 08h43min39s,15.369,74.156,,
1126,08/18/20 09h43min39s,15.417,74.062,,
1127,08/18/20 10h43min39s,15.464,73.795,,
1128,08/18/20 11h43min39s,15.536,73.573,,
1129,08/18/20 12h43min39s,15.655,73.515,,
1130,08/18/20 01h43min39s,15.894,73.870,,
1131,08/18/20 02h43min39s,16.180,74.789,,
1132,08/18/20 03h43min39s,16.394,75.448,,
1133,08/18/20 04h43min39s,16.609,76.151,,
1134,08/18/20 05h43min39s,16.633,76.419,,
1135,08/18/20 06h43min39s,16.609,76.259,,
1136,08/18/20 07h43min39s,16.537,75.999,,
1137,08/18/20 08h43min39s,16.490,76.057,,
1138,08/18/20 09h43min39s,16.418,76.118,,
1139,08/18/20 10h43min39s,16.394,76.335,,
1140,08/18/20 11h43min39s,16.347,76.558,,
1141,08/19/20 12h43min39s,16.299,76.674,,
1142,08/19/20 01h43min39s,16.275,76.676,,
1143,08/19/20 02h43min39s,16.251,76.903,,
1144,08/19/20 03h43min39s,16.228,76.849,,
1145,08/19/20 04h43min39s,16.180,76.910,,
1146,08/19/20 05h43min39s,16.156,77.026,,
1147,08/19/20 06h43min39s,16.132,76.971,,
1148,08/19/20 07h43min39s,16.037,76.535,,
1149,08/19/20 08h43min39s,15.989,75.798,,
1150,08/19/20 09h43min39s,15.965,75.396,,
1151,08/19/20 10h43min39s,15.918,74.586,,
1152,08/19/20 11h43min39s,15.894,72.356,,
1153,08/19/20 12h43min39s,15.965,71.856,,
1154,08/19/20 01h43min39s,16.085,70.710,,
1155,08/19/20 02h43min39s,16.228,69.319,,
1156,08/19/20 03h43min39s,16.514,66.002,,
1157,08/19/20 03h46min27s,,,Registado,Registado
