"Título do Desenho: Termohigrógrafo_coleta_MALG"
"#","Data Hora, GMT-03:00","Temp., °C (LGR S/N: 20455588, SEN S/N: 20455588)","HR, % (LGR S/N: 20455588, SEN S/N: 20455588)","Anfitrião Ligado (LGR S/N: 20455588)","Fim Do Ficheiro (LGR S/N: 20455588)"
248,07/12/20 07h43min39s,14.364,79.149,,
249,07/12/20 08h43min39s,14.316,79.626,,
250,07/12/20 09h43min39s,14.292,79.836,,
251,07/12/20 10h43min39s,14.244,80.124,,
252,07/12/20 11h43min39s,14.196,80.272,,
253,07/13/20 12h43min39s,14.125,79.571,,
254,07/13/20 01h43min39s,14.053,79.645,,
255,07/13/20 02h43min39s,14.005,79.717,,
256,07/13/20 03h43min39s,13.909,79.183,,
257,07/13/20 04h43min39s,13.837,78.864,,
258,07/13/20 05h43min39s,13.765,79.261,,
259,07/13/20 06h43min39s,13.692,78.685,,
260,07/13/20 07h43min39s,13.620,78.691,,
261,07/13/20 08h43min39s,13.596,78.200,,
262,07/13/20 09h43min39s,13.572,77.729,,
263,07/13/20 10h43min39s,13.548,77.502,,
264,07/13/20 11h43min39s,13.572,77.164,,
265,07/13/20 12h43min39s,13.596,76.623,,
266,07/13/20 01h43min39s,13.717,75.796,,
267,07/13/20 02h43min39s,13.837,75.159,,
268,07/13/20 03h43min39s,13.957,75.006,,
269,07/13/20 04h43min39s,13.957,75.192,,
270,07/13/20 05h43min39s,13.909,75.198,,
271,07/13/20 06h43min39s,13.885,75.679,,
272,07/13/20 07h43min39s,13.813,75.303,,
273,07/13/20 08h43min39s,13.717,75.747,,
274,07/13/20 09h43min39s,13.644,76.102,,
275,07/13/20 10h43min39s,13.548,75.287,,
276,07/13/20 11h43min39s,13.476,75.063,,
277,07/14/20 12h43min39s,13.356,74.627,,
278,07/14/20 01h43min39s,13.260,74.334,,
279,07/14/20 02h43min39s,13.115,74.055,,
280,07/14/20 03h43min39s,13.019,74.321,,
281,07/14/20 04h43min39s,12.947,74.989,,
282,07/14/20 05h43min39s,12.850,74.471,,
283,07/14/20 06h43min39s,12.778,74.099,,
284,07/14/20 07h43min39s,12.681,75.112,,
285,07/14/20 08h43min39s,12.681,75.295,,
286,07/14/20 09h43min39s,12.633,74.672,,
287,07/14/20 10h43min39s,12.536,73.721,,
288,07/14/20 11h43min39s,12.440,73.071,,
289,07/14/20 12h43min39s,12.464,73.144,,
290,07/14/20 01h43min39s,12.657,72.340,,
291,07/14/20 02h43min39s,12.754,70.173,,
292,07/14/20 03h43min39s,12.778,67.410,,
293,07/14/20 04h43min39s,12.778,67.292,,
294,07/14/20 05h43min39s,12.729,68.825,,
295,07/14/20 06h43min39s,12.729,69.738,,
296,07/14/20 07h43min39s,12.681,70.796,,
